CVE,has_vfc,by_ref,by_github,by_ex_source
https://nvd.nist.gov/vuln/detail/CVE-2008-0826,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2013-5164,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2016-20015,1,0,0,1
https://nvd.nist.gov/vuln/detail/CVE-2020-12050,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2023-29051,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2013-1531,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2008-4430,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2007-2819,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2007-5861,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2010-1999,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2011-3424,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2009-2613,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2008-7245,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2017-16945,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2007-5287,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2014-1437,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2023-2765,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2006-2293,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2019-10382,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2007-3216,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2017-17169,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2013-3889,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2023-0342,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2019-4877,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-1999-0048,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2021-38602,1,1,0,0
https://nvd.nist.gov/vuln/detail/CVE-2019-1931,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2024-0841,1,1,0,0
https://nvd.nist.gov/vuln/detail/CVE-2023-22681,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2017-2637,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2010-3238,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2012-5232,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2023-4745,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2020-27697,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2014-0169,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2016-6876,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2023-48987,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2023-42560,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2010-4145,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2017-7413,1,1,0,0
https://nvd.nist.gov/vuln/detail/CVE-2022-2592,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2018-10344,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2000-0450,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2023-40048,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2002-1696,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2008-2549,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2016-8363,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2009-0758,1,0,1,0
https://nvd.nist.gov/vuln/detail/CVE-2001-0952,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2018-14785,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2012-0688,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2020-8222,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2011-3777,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2020-10568,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2022-1216,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2023-7163,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2017-6055,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2023-1837,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2014-6798,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2022-35483,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2013-3299,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2023-27920,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2004-1259,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2008-5198,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2002-0782,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2023-1103,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2015-5222,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2006-2861,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2020-14166,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2022-3486,1,1,0,0
https://nvd.nist.gov/vuln/detail/CVE-2014-9996,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2010-3243,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2015-6737,1,1,0,0
https://nvd.nist.gov/vuln/detail/CVE-2022-42484,0,0,0,0
https://nvd.nist.gov/vuln/detail/CVE-2021-41979,0,0,0,0
